SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
NC(=O)[C@@H]1CC[C@@H](NOS(=O)(=O)O)CN1C=O,0.0,139.03,6,0.0,3
C[C@@H](O)[C@@H](C=O)[C@H]1CC(SCCNC=N)=C(C(=O)O)N1,0.0,122.51,6,1.3766780045351472,5
C[C@@H](O)[C@@H](C=O)[C@H]1C[C@@H](SCC/N=C\N)C(C(=O)O)=N1,0.0,125.34,6,1.4252891156462584,3
C=C1CO[C@H]([C@@](C=O)(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)OC)N=C1C(=O)O,18.711669820521717,171.82,8,0.0,4
N/C=C/C(=O)OC[C@H](N)C(=O)O,0.0,115.64,5,0.0,3
O=C/C=C/NCC(=O)CCO,0.0,66.4,4,0.0,2
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(=O)N(C)C)C1,6.923737199690624,119.3,7,1.493162320483749,3
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](CNS(N)(=O)=O)C1,6.923737199690624,171.17999999999998,8,1.459656320861678,5
C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(=O)Nc3cccc(C(=O)O)c3)C2)[C@@H]1C,12.990104268152233,165.06,8,1.355050860334951,6
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(=O)Nc2cccc(C(=O)O)c2)C1,12.990104268152233,165.39,8,1.4071341936682844,5
CC1(C)S[C@H]([C@H](N)C=O)N[C@H]1C(=O)O,0.0,92.42,5,1.38875,3
CC1(C)S[C@H]([C@@H](C=O)NC(=O)[C@H](N)c2ccc(O)cc2)N[C@H]1C(=O)O,12.13273413692322,141.75,7,1.2766285557943204,5
CC1(C)S[C@H]([C@@H](C=O)NC(=O)[C@H](N)c2ccccc2)N[C@H]1C(=O)O,30.33183534230805,121.52,6,1.307730484168976,4
CC1(C)S[C@H]([C@@H](C=O)NC(=O)[C@@H](C(=O)O)c2ccccc2)N[C@H]1C(=O)O,30.33183534230805,132.79999999999998,6,1.2095161984546903,4
Cn1nnnc1SCC1=C(C(=O)O)N[C@@H]([C@@H](C=O)NC(=O)[C@H](O)c2ccccc2)SC1,42.093720291699164,159.32999999999998,11,2.5732706041142737,4
CO/N=C(\C(=O)N[C@H](C=O)[C@@H]1NC(C(=O)O)=C(COC(N)=O)CS1)c1ccco1,5.15571272675054,182.55,10,1.1363864480977575,4
